t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
4573.25,100,53,45851,81920,266.05,400.00,1410,46
4583.28,100,62,45851,81920,288.34,400.00,1410,46
4593.31,100,49,45851,81920,374.65,400.00,1410,50
4603.34,100,51,45851,81920,363.82,400.00,1410,51
4613.36,96,52,45851,81920,389.65,400.00,1410,53
4623.39,100,51,45851,81920,338.32,400.00,1410,51
4633.42,100,58,45851,81920,276.39,400.00,1410,46
4643.45,100,62,45851,81920,278.08,400.00,1410,45
4653.48,100,49,45851,81920,367.46,400.00,1410,53
4663.51,100,50,45851,81920,349.07,400.00,1410,51
4673.54,96,48,45851,81920,366.26,400.00,1410,52
4683.57,100,56,45851,81920,273.54,400.00,1410,45
4693.6,100,55,45851,81920,250.98,400.00,1410,43
4703.65,100,36,45851,81920,364.09,400.00,1395,51
4713.67,100,50,45851,81920,315.92,400.00,1410,49
4723.7,100,50,45851,81920,314.17,400.00,1410,49
4733.73,100,54,45851,81920,261.54,400.00,1410,44
4743.76,100,61,45851,81920,279.55,400.00,1410,44
4753.79,100,56,45851,81920,369.63,400.00,1410,49
4763.82,96,47,45851,81920,375.65,400.00,1410,50
4773.85,100,50,45851,81920,344.11,400.00,1410,49
4783.88,100,50,45851,81920,258.89,400.00,1410,45
4793.91,100,60,45851,81920,273.15,400.00,1410,44
4803.94,0,0,45851,81920,360.76,400.00,1410,44
4813.97,100,45,45851,81920,369.24,400.00,1410,52
4823.99,100,50,45851,81920,344.82,400.00,1410,50
4834.02,100,50,45851,81920,360.83,400.00,1410,50
4844.05,100,55,45851,81920,261.75,400.00,1410,43
4854.08,100,60,45851,81920,263.73,400.00,1410,42
4864.11,100,45,45851,81920,489.58,400.00,1410,50
4874.14,100,50,45851,81920,319.15,400.00,1410,49
4884.16,100,50,45851,81920,342.13,400.00,1410,49
4894.19,100,54,45851,81920,266.89,400.00,1410,44
4904.22,100,61,45851,81920,280.77,400.00,1410,43
4914.28,100,54,45851,81920,349.89,400.00,1410,48
4924.31,100,58,45851,81920,340.89,400.00,1410,48
