t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
836.28,0,0,74395,81920,71.07,400.00,1155,35
838.34,0,0,74395,81920,71.07,400.00,1155,35
840.41,0,0,74395,81920,71.07,400.00,1155,35
842.48,0,0,74395,81920,71.32,400.00,1155,35
844.54,0,0,74395,81920,71.39,400.00,1155,35
846.61,0,0,74395,81920,71.39,400.00,1155,35
848.68,0,0,74395,81920,71.32,400.00,1155,35
850.74,0,0,74395,81920,71.39,400.00,1155,35
852.81,0,0,74395,81920,71.00,400.00,1155,35
854.88,0,0,74395,81920,71.07,400.00,1155,35
856.94,0,0,74395,81920,71.07,400.00,1155,35
859.01,0,0,74395,81920,71.07,400.00,1155,35
861.08,0,0,74395,81920,71.14,400.00,1155,35
863.14,0,0,74395,81920,71.32,400.00,1155,35
865.22,0,0,74395,81920,71.00,400.00,1155,35
867.29,0,0,74395,81920,71.07,400.00,1155,35
869.35,0,0,74395,81920,71.07,400.00,1155,35
871.41,0,0,74395,81920,71.07,400.00,1155,35
873.48,0,0,74395,81920,71.07,400.00,1155,35
875.55,0,0,74395,81920,71.07,400.00,1155,35
877.61,0,0,74395,81920,71.07,400.00,1155,35
879.68,0,0,74395,81920,71.00,400.00,1155,35
881.75,0,0,74395,81920,71.32,400.00,1155,35
883.81,0,0,74395,81920,71.39,400.00,1155,35
885.93,0,0,74395,81920,71.07,400.00,1155,35
888.01,0,0,74395,81920,71.00,400.00,1155,35
890.08,0,0,74395,81920,71.07,400.00,1155,35
892.18,0,0,74395,81920,71.32,400.00,1155,35
894.25,0,0,74395,81920,71.25,400.00,1155,35
896.38,0,0,74395,81920,71.32,400.00,1155,35
898.45,0,0,74395,81920,71.32,400.00,1155,35
900.52,0,0,74395,81920,71.39,400.00,1155,35
902.59,0,0,74395,81920,71.32,400.00,1155,35
904.65,0,0,74395,81920,71.39,400.00,1155,35
906.72,0,0,74395,81920,71.07,400.00,1155,35
908.79,0,0,74395,81920,71.32,400.00,1155,35
910.85,0,0,74395,81920,71.07,400.00,1155,35
912.92,0,0,74395,81920,71.32,400.00,1155,35
914.99,0,0,74395,81920,71.07,400.00,1155,35
917.06,0,0,74395,81920,71.59,400.00,1155,35
919.13,0,0,74395,81920,71.32,400.00,1155,35
921.2,0,0,74395,81920,71.07,400.00,1155,35
923.26,0,0,74395,81920,71.00,400.00,1155,35
925.42,0,0,74395,81920,71.00,400.00,1155,35
927.49,0,0,74395,81920,71.07,400.00,1155,35
929.56,0,0,74395,81920,71.00,400.00,1155,35
931.63,0,0,74395,81920,71.07,400.00,1155,35
933.69,0,0,74395,81920,71.07,400.00,1155,35
935.8,0,0,74395,81920,71.00,400.00,1155,35
937.87,0,0,74395,81920,71.39,400.00,1155,35
939.94,0,0,74395,81920,71.00,400.00,1155,35
942.0,0,0,74395,81920,71.07,400.00,1155,35
944.07,0,0,74395,81920,71.07,400.00,1155,35
946.13,0,0,74395,81920,71.00,400.00,1155,35
948.19,0,0,74395,81920,71.07,400.00,1155,35
950.26,0,0,74395,81920,71.07,400.00,1155,35
952.35,0,0,74395,81920,71.00,400.00,1155,35
954.42,0,0,74395,81920,71.07,400.00,1155,35
956.48,0,0,74395,81920,71.32,400.00,1155,35
958.55,0,0,74395,81920,71.32,400.00,1155,35
960.61,0,0,74395,81920,71.07,400.00,1155,35
962.78,0,0,74395,81920,71.07,400.00,1155,35
964.85,0,0,74395,81920,71.07,400.00,1155,35
966.91,0,0,74395,81920,71.67,400.00,1155,35
968.98,0,0,74395,81920,71.39,400.00,1155,35
971.05,0,0,74395,81920,71.39,400.00,1155,35
973.12,0,0,74395,81920,71.32,400.00,1155,35
975.19,0,0,74395,81920,71.39,400.00,1155,35
977.25,0,0,74395,81920,71.59,400.00,1155,35
979.32,0,0,74395,81920,71.32,400.00,1155,35
981.38,0,0,74395,81920,71.32,400.00,1155,35
983.46,0,0,74395,81920,71.00,400.00,1155,35
985.52,0,0,74395,81920,71.07,400.00,1155,35
987.59,0,0,74395,81920,71.07,400.00,1155,35
989.66,0,0,74395,81920,71.00,400.00,1155,35
991.72,0,0,74395,81920,71.07,400.00,1155,35
993.88,0,0,74395,81920,71.00,400.00,1155,35
995.95,0,0,74395,81920,71.25,400.00,1155,35
998.01,0,0,74395,81920,71.07,400.00,1155,35
1000.08,0,0,74395,81920,71.07,400.00,1155,35
1002.14,0,0,74395,81920,71.32,400.00,1155,35
1004.23,0,0,74395,81920,71.07,400.00,1155,35
1006.29,0,0,74395,81920,70.92,400.00,1155,35
1008.36,0,0,74395,81920,71.00,400.00,1155,35
1010.42,0,0,74395,81920,71.07,400.00,1155,35
1012.49,0,0,74395,81920,71.07,400.00,1155,35
1014.64,0,0,74395,81920,71.39,400.00,1155,35
1016.71,0,0,74395,81920,71.00,400.00,1155,35
1018.77,0,0,74395,81920,71.00,400.00,1155,35
1020.84,0,0,74395,81920,71.07,400.00,1155,35
1022.9,0,0,74395,81920,71.00,400.00,1155,35
1025.02,0,0,74395,81920,71.07,400.00,1155,35
1027.09,0,0,74395,81920,71.07,400.00,1155,35
1029.16,0,0,74395,81920,71.00,400.00,1155,35
1031.22,0,0,74395,81920,71.07,400.00,1155,35
1033.32,0,0,74395,81920,71.39,400.00,1155,35
1035.39,0,0,74395,81920,71.39,400.00,1155,35
1037.46,0,0,74395,81920,71.39,400.00,1155,35
1039.53,0,0,74395,81920,71.00,400.00,1155,35
1041.6,0,0,74395,81920,71.39,400.00,1155,35
1043.74,0,0,74395,81920,71.32,400.00,1155,35
1045.8,0,0,74395,81920,71.07,400.00,1155,35
1047.87,0,0,74395,81920,71.32,400.00,1155,35
